rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
4,CJGY2064580,2406200640451621700,2507140608041614401,2025-07-14T10:03:22+08:00,5,KR,N***j,울강아지 깔아줬더니 시원해서 좋아하네요~,
4,CJGY2064580,2406200640451621700,2507140608041614400,2025-07-14T09:17:39+08:00,5,ES,H***t,"Llegó muy rápido. Todo perfecto, espero que funcione bien",
4,CJGY2064580,2406200640451621700,2507140607581613114,2025-07-14T04:24:05+08:00,5,FR,W***u,je suis content du produit.,
4,CJGY2064580,2406200640451621700,2507140607581613118,2025-07-14T00:42:06+08:00,5,DE,W***s,my dog loves it!,
4,CJGY2064580,2406200640451621700,2507140607581613103,2025-07-13T21:01:11+08:00,5,ES,K***q,Yo la mojo y resfresca bastante lo único malo que hize no mirar las medidas y compré la chica y es muy chica cabe como un zapato de un 37 ,
4,CJGY2064580,2406200640451621700,2507140607581613108,2025-07-13T20:22:59+08:00,5,IT,P***e,tutto bene,
4,CJGY2064580,2406200640451621700,2507140608041613704,2025-07-13T19:02:08+08:00,5,ES,X***u,Cumple su función ,
4,CJGY2064580,2406200640451621700,2507140608041613702,2025-07-13T18:23:46+08:00,5,US,D***r,"I really love it, I would totally recommend it’s amazing 🤩 I really love it, I would totally recommend it’s amazing 🤩 ",
4,CJGY2064580,2406200640451621700,2507140608061613504,2025-07-13T16:23:11+08:00,1,NL,A***u,It is smal as shit and it does not work good,
4,CJGY2064580,2406200640451621700,2507140608061613502,2025-07-13T13:10:40+08:00,2,ES,C***e,pobre. pequeña,
4,CJGY2064580,2406200640451621700,2507140607581613109,2025-07-13T11:29:22+08:00,5,IT,A***j,tutto bene,
4,CJGY2064580,2406200640451621700,2507140608041613705,2025-07-13T09:48:23+08:00,5,ES,G***r,se queda pequeña para mi gata. pero es verdad que está fresquita y se tumba mucho encima.,
4,CJGY2064580,2406200640451621700,2507140608041614407,2025-07-13T09:30:14+08:00,2,FR,J***a,Pas trop frais,
4,CJGY2064580,2406200640451621700,2507140608041613700,2025-07-13T07:46:50+08:00,5,UA,F***j,"Доставка дуже швидка, 2 тижні, дійсно охолодження присутнє",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/c8c903dc-3b3f-466b-bfdd-1afe179e152d.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/f4e0f5b5-ad10-4edb-9d3d-8010c2e8132e.jpg
4,CJGY2064580,2406200640451621700,2507140608041613706,2025-07-13T07:21:09+08:00,5,IT,N***j,tappetino  perfetto  per  la  mia  cagnolina  in  tessuto  molto traspirante  e fresco  già fatto un  lavaggio  senza problemi ottima riuscita,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/1633527a-cde2-4e57-a2d4-64594ff7d90f.jpg
4,CJGY2064580,2406200640451621700,2507140607581613117,2025-07-13T06:00:15+08:00,5,NL,G***o,Dog doesn’t like it🙈,
4,CJGY2064580,2406200640451621700,2507140608061613602,2025-07-13T04:33:45+08:00,1,ES,H***w,No enfría nada. Es un trozo tela. No lleva gel. Un engaño.,
4,CJGY2064580,2406200640451621700,2507140608041613703,2025-07-13T01:00:54+08:00,5,US,F***v,"Bien, es tela fresquita aunque no es esterilla fria como esperaba. Pero bien. El tamaño correcto. Llegó antes de tiempo",
4,CJGY2064580,2406200640451621700,2507140608041614404,2025-07-13T00:50:53+08:00,3,UK,D***h,Cute but doesn’t cool down much,
4,CJGY2064580,2406200640451621700,2507140608041614405,2025-07-13T00:04:50+08:00,3,ES,Z***i,"Ed cierto que si lo pones frente al aire acondicionado, en un par de segundos se enfría mucho; pero para dejarlo desatendido en el suelo, me da la impresión de que es más fresco el suelo de baldosas sin más.",
4,CJGY2064580,2406200640451621700,2507140607581613102,2025-07-12T23:26:09+08:00,5,BE,Q***u,super,
